czone,china_exposure,working_age_25_64_cz,pop2000_cz,gpt_exposure,china_above_average_mass,gpt_above_average_mass,china_exposure_z,gpt_exposure_z,china_pctile,gpt_pctile,adult25p_1990,hs_less_1990,ba_plus_1990,hs_less_share_1990,ba_share_1990,adult25p_2024,hs_less_2024,ba_plus_2024,hs_less_share_2024,ba_share_2024
4902,0.039679350461415,44084.0,92131,0.336100957180682,826.5102675848758,0.0,0.9636065883998279,0.5990651197201277,0.8723994452149791,0.7558945908460472,54039,40972,4282,0.7581931567941672,0.07923906808046041,59432,35532,9572,0.5978597388612196,0.16105801588369903
4903,0.1140392989257925,24469.0,44884,0.3307092646135035,2278.2713989896956,0.0,4.660453059608955,0.33322136289232523,0.9930651872399445,0.6823855755894591,26019,20476,1637,0.7869633729197894,0.06291556170490795,34256,20500,5210,0.5984353106025222,0.1520901447921532
5000,0.1094950358018999,101126.0,197774,0.3150008519537849,8956.145003540354,0.0,4.43453247412259,-0.4413004376795283,0.9902912621359223,0.3314840499306519,110201,76859,11806,0.6974437618533407,0.10713151423308319,136082,65363,28575,0.48032068899634045,0.20998368630678563
5100,0.1068786195989948,65369.0,129508,0.3283549636130204,5618.321787201458,0.0,4.304455877693025,0.21713977721701447,0.9889042995839112,0.6185852981969486,76920,58836,5662,0.7648985959438378,0.0736089443577743,92024,49505,15480,0.5379574893506042,0.16821698687298967
5201,0.1232343905868389,28284.0,54214,0.3084704479813878,2893.554223022239,0.0,5.117592189766748,-0.7632897024594635,0.9972260748959778,0.18585298196948682,31113,23442,2889,0.7534471121396201,0.09285507665606017,38276,19302,6794,0.5042846692444352,0.17750026126031979
5202,0.0186201660136889,661388.0,1154338,0.3304244403155699,0.0,0.0,-0.08336255722046527,0.3191777651806462,0.5755894590846047,0.6740638002773925,622185,345425,115866,0.5551805331211778,0.18622435449263483,855337,332918,270562,0.3892243641979711,0.31632210462075183
5300,0.0376132816756795,54621.0,138746,0.3261446892865692,911.2128020352118,0.0,0.8608908219482064,0.1081595964588013,0.8599167822468793,0.5700416088765603,81478,60308,7275,0.7401752620339233,0.08928790593779916,73880,40891,11492,0.5534786139685978,0.15554953979426098
5401,0.0269157891499709,109947.0,164944,0.3244308710309533,658.0295296388803,0.0,0.32905899162630914,0.023657767410447384,0.7517337031900139,0.5339805825242718,87780,60497,11807,0.6891888812941445,0.1345067213488266,143622,64592,37388,0.4497361128517915,0.26032223475512106
5402,0.031133531245912,50348.0,92394,0.3108453120773354,513.6861637405074,0.0,0.5387464013925981,-0.6461942291260204,0.79750346740638,0.2288488210818308,55170,45192,3857,0.8191408374116368,0.06991118361428313,69308,40293,10968,0.5813614589946327,0.15825012985513937
5500,0.0515489858890507,110655.0,159374,0.321350549734454,3388.0532737745725,0.0,1.5537121593607186,-0.12822110466823058,0.941747572815534,0.47434119278779474,83485,60448,7976,0.7240582140504283,0.09553812062047075,148853,69501,34541,0.4669103074845653,0.2320477249366825
5600,0.0212136414387124,1023595.0,1246338,0.357606250603943,289.4957883259552,11710.12530170231,0.04557352559243156,1.6594089587079037,0.6380027739251041,0.9459084604715673,640481,355844,135059,0.5555886903748901,0.21087120461028508,1283500,414268,547305,0.32276431632255553,0.42641604986365406
5700,0.0444579501202757,81255.0,130610,0.3285087073915592,1911.6970514164918,0.0,1.201177345924535,0.22472029542468322,0.9181692094313454,0.624133148404993,71715,49286,9420,0.6872481349787353,0.13135327337377117,110261,56365,23014,0.5111961618341934,0.2087229392078795
5800,0.0752949893764454,76859.0,138212,0.3225868809295417,4178.375782539588,0.0,2.7342580178580347,-0.06726233791912511,0.9722607489597781,0.492371705963939,80233,61907,6712,0.7715902434160508,0.08365635087806762,107682,56822,20324,0.5276833639791237,0.1887409223454245
5900,0.0416130724601407,180398.0,252059,0.3283469154316418,3731.0371868737006,0.0,1.059742660235773,0.216742952148325,0.8987517337031901,0.6171983356449375,122283,75946,15712,0.6210675236950353,0.12848883328017796,222939,85233,60014,0.38231534186481503,0.26919471245497645
6000,0.04243974234863,374049.0,519583,0.3765672819617315,8045.391325970327,11371.5479161825,1.1008410165852338,2.594304957817519,0.9056865464632455,0.9930651872399445,290541,157936,63786,0.5435928147834557,0.21954216444494926,491042,170268,181696,0.3467483433189014,0.37002130164018554
